#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1V4HUB8/27-129    -            103 Bac_globin           PF01152.28   121   3.3e-05   23.9   0.0   1   1   4.5e-07   4.4e-05   23.5   0.0    19    97     1    79     1    90 0.87 tr|A0A1V4HUB8|A0A1V4HUB8_NITVU Hemin receptor OS=Nitrobacter vulgaris OX=29421 GN=B2M20_16865 PE=3 SV=1
A0A1E3YPN5/27-130    -            104 Bac_globin           PF01152.28   121    0.0063   16.6   0.0   1   1   7.5e-05    0.0074   16.4   0.0    19    98     1    80     1    99 0.79 tr|A0A1E3YPN5|A0A1E3YPN5_9BURK GLOBIN domain-containing protein OS=Acidovorax sp. SCN 65-108 OX=1660085 GN=ABS37_19970 PE=3 SV=1
A0A1F4EM02/27-130    -            104 Bac_globin           PF01152.28   121    0.0063   16.6   0.0   1   1   7.5e-05    0.0074   16.4   0.0    19    98     1    80     1    99 0.79 tr|A0A1F4EM02|A0A1F4EM02_9BURK GLOBIN domain-containing protein OS=Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_64_960 OX=1797553 GN=A2710_14405 PE=3 SV=1
A0A1F4J3Y3/27-130    -            104 Bac_globin           PF01152.28   121    0.0063   16.6   0.0   1   1   7.5e-05    0.0074   16.4   0.0    19    98     1    80     1    99 0.79 tr|A0A1F4J3Y3|A0A1F4J3Y3_9BURK GLOBIN domain-containing protein OS=Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_65_48 OX=1797559 GN=A3E23_23490 PE=3 SV=1
A0A1Q3RV00/27-130    -            104 Bac_globin           PF01152.28   121    0.0063   16.6   0.0   1   1   7.5e-05    0.0074   16.4   0.0    19    98     1    80     1    99 0.79 tr|A0A1Q3RV00|A0A1Q3RV00_9BURK GLOBIN domain-containing protein OS=Burkholderiales bacterium 64-34 OX=1895726 GN=BGO35_15130 PE=3 SV=1
A0A166HEP3/25-124    -            100 Bac_globin           PF01152.28   121    0.0064   16.6   0.0   1   1   7.2e-05    0.0071   16.4   0.0    20    98     1    79     1    96 0.85 tr|A0A166HEP3|A0A166HEP3_9GAMM GLOBIN domain-containing protein OS=Halioglobus sp. HI00S01 OX=1822214 GN=A3709_02570 PE=3 SV=1
A0A1S1REX7/27-129    -            103 Bac_globin           PF01152.28   121    0.0068   16.5   0.0   1   1   0.00012     0.012   15.7   0.0    19    97     1    78     1    88 0.82 tr|A0A1S1REX7|A0A1S1REX7_9ACTN Hemin receptor OS=Frankia sp. BMG5.36 OX=1834512 GN=BCD48_23220 PE=3 SV=1
A0A1Q9VB38/23-125    -            103 Bac_globin           PF01152.28   121    0.0074   16.3   0.0   1   1   0.00018     0.018   15.1   0.0    70   102    52    84    48    96 0.88 tr|A0A1Q9VB38|A0A1Q9VB38_9ACTN Flavoprotein OS=Gordonia sp. CNJ-863 OX=1904963 GN=BJF87_02405 PE=3 SV=1
W9DIY5/23-125        -            103 Bac_globin           PF01152.28   121    0.0074   16.3   0.0   1   1   0.00018     0.018   15.1   0.0    70   102    52    84    48    96 0.88 tr|W9DIY5|W9DIY5_9ACTN Hemoglobin-like flavoprotein OS=Gordonia alkanivorans CGMCC 6845 OX=1423140 GN=V525_13780 PE=3 SV=1
F9W0A2/23-125        -            103 Bac_globin           PF01152.28   121    0.0076   16.3   0.0   1   1   0.00019     0.019   15.1   0.0    70   102    52    84    48    95 0.88 tr|F9W0A2|F9W0A2_9ACTN GLOBIN domain-containing protein OS=Gordonia alkanivorans NBRC 16433 OX=1027371 GN=GOALK_099_00310 PE=3 SV=1
A0A254W6J0/25-127    -            103 Bac_globin           PF01152.28   121    0.0082   16.2   0.0   1   1   9.3e-05    0.0091   16.1   0.0    19    98     2    81     1   100 0.81 tr|A0A254W6J0|A0A254W6J0_9CYAN GLOBIN domain-containing protein OS=cyanobacterium TDX16 OX=1503470 GN=B7486_48090 PE=3 SV=1
A0A1H1YQD1/27-129    -            103 Bac_globin           PF01152.28   121    0.0082   16.2   0.0   1   1    0.0001      0.01   15.9   0.0    27    95     9    76     1    96 0.79 tr|A0A1H1YQD1|A0A1H1YQD1_9ACTN Nitric oxide dioxygenase OS=Microlunatus soli OX=630515 GN=SAMN04489812_4718 PE=3 SV=1
A0A1H2HDF6/23-125    -            103 Bac_globin           PF01152.28   121    0.0088   16.1   0.0   1   1    0.0002      0.02   15.0   0.0    69   102    51    84    46    97 0.87 tr|A0A1H2HDF6|A0A1H2HDF6_9ACTN Hemoglobin-like flavoprotein OS=Gordonia westfalica OX=158898 GN=SAMN04488548_134404 PE=3 SV=1
L7L341/74-176        -            103 Bac_globin           PF01152.28   121    0.0088   16.1   0.0   1   1    0.0002      0.02   15.0   0.0    69   102    51    84    46    97 0.87 tr|L7L341|L7L341_9ACTN GLOBIN domain-containing protein OS=Gordonia amicalis NBRC 100051 = JCM 11271 OX=1220574 GN=GOAMI_51_00210 PE=3 SV=1
A0A1S1R534/27-129    -            103 Bac_globin           PF01152.28   121    0.0096   16.0   0.0   1   1   0.00018     0.018   15.1   0.0    19    97     1    78     1    89 0.82 tr|A0A1S1R534|A0A1S1R534_9ACTN Hemin receptor OS=Frankia sp. EUN1h OX=1834515 GN=BCD49_08755 PE=3 SV=1
A0A1E3GD10/28-126    -             99 Bac_globin           PF01152.28   121    0.0098   16.0   0.1   1   1   0.00016     0.016   15.3   0.1    71   108    55    92    51    98 0.87 tr|A0A1E3GD10|A0A1E3GD10_9GAMM Nitric oxide dioxygenase OS=Piscirickettsia litoralis OX=1891921 GN=BGC07_12530 PE=3 SV=1
A0A2E1G3T5/23-124    -            102 Bac_globin           PF01152.28   121     0.011   15.8   0.0   1   1    0.0002     0.019   15.0   0.0    70   103    52    85    50    98 0.87 tr|A0A2E1G3T5|A0A2E1G3T5_9ACTN Flavoprotein OS=Gordonia sp. OX=84139 GN=CME34_02010 PE=3 SV=1
A0A158DKF8/27-131    -            105 Bac_globin           PF01152.28   121     0.011   15.8   0.0   1   2    0.0076      0.75    9.9   0.0    67   116    10    56     2    58 0.88 tr|A0A158DKF8|A0A158DKF8_9BURK Flavohemoprotein OS=Caballeronia catudaia OX=1777136 GN=hmp PE=3 SV=1
A0A158DKF8/27-131    -            105 Bac_globin           PF01152.28   121     0.011   15.8   0.0   2   2      0.19        19    5.4   0.0    71   108    56    93    54   101 0.85 tr|A0A158DKF8|A0A158DKF8_9BURK Flavohemoprotein OS=Caballeronia catudaia OX=1777136 GN=hmp PE=3 SV=1
M3UR57/23-125        -            103 Bac_globin           PF01152.28   121     0.013   15.6   0.1   1   1   0.00031     0.031   14.4   0.0    70   101    52    83    47    97 0.86 tr|M3UR57|M3UR57_9ACTN GLOBIN domain-containing protein OS=Gordonia paraffinivorans NBRC 108238 OX=1223543 GN=GP2_009_00230 PE=3 SV=1
C1AE78/28-131        -            104 Bac_globin           PF01152.28   121     0.013   15.6   0.0   1   1   0.00016     0.016   15.3   0.0    19   102     1    84     1    98 0.82 tr|C1AE78|C1AE78_GEMAT Bacterial hemoglobin OS=Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505) OX=379066 GN=GAU_3763 PE=3 SV=1
U1KXH3/27-132        -            106 Bac_globin           PF01152.28   121     0.013   15.5   1.8   1   1    0.0019      0.18   11.9   1.8    19   104     2    89     1   102 0.69 tr|U1KXH3|U1KXH3_9GAMM Flavohemoprotein OS=Pseudoalteromonas citrea DSM 8771 OX=1117314 GN=PCIT_00458 PE=3 SV=1
A0A0P1H042/26-128    -            103 Bac_globin           PF01152.28   121     0.014   15.5   0.0   1   1   0.00015     0.015   15.4   0.0    33   107    14    89     1   100 0.81 tr|A0A0P1H042|A0A0P1H042_9RHOB Bifunctional nitric oxide dioxygenase/dihydropteridine reductase 2 OS=Phaeobacter sp. CECT 5382 OX=1712645 GN=PH5382_02218 PE=3 SV=1
A0A0R3NAS9/15-118    -            104 Bac_globin           PF01152.28   121     0.015   15.4   0.0   1   1   0.00028     0.027   14.5   0.0    19   105     1    87     1    98 0.83 tr|A0A0R3NAS9|A0A0R3NAS9_9BRAD Hemin receptor OS=Bradyrhizobium retamae OX=1300035 GN=CQ13_16200 PE=3 SV=1
A0A1X2B2Z4/28-133    -            106 Bac_globin           PF01152.28   121     0.016   15.3   0.2   1   1   0.00026     0.026   14.6   0.2    18   102     1    86     1   102 0.69 tr|A0A1X2B2Z4|A0A1X2B2Z4_MYCPR 2-polyprenylphenol hydroxylase OS=Mycolicibacterium peregrinum OX=43304 GN=AWC21_16645 PE=3 SV=1
A0A1E4K2T0/25-129    -            105 Bac_globin           PF01152.28   121     0.017   15.2   0.0   1   1    0.0002      0.02   15.0   0.0    18    98     2    81     1    97 0.79 tr|A0A1E4K2T0|A0A1E4K2T0_9GAMM GLOBIN domain-containing protein OS=Xanthomonadaceae bacterium SCN 69-320 OX=1660169 GN=ABS97_12020 PE=3 SV=1
A0A1Q4FYG7/25-129    -            105 Bac_globin           PF01152.28   121     0.017   15.2   0.0   1   1    0.0002      0.02   15.0   0.0    18    98     2    81     1    97 0.79 tr|A0A1Q4FYG7|A0A1Q4FYG7_9GAMM GLOBIN domain-containing protein OS=Xanthomonadales bacterium 69-70 OX=1895869 GN=BGP24_08995 PE=3 SV=1
G7H6Y4/23-124        -            102 Bac_globin           PF01152.28   121     0.018   15.1   0.0   1   1   0.00032     0.031   14.3   0.0    70   109    52    91    48   101 0.87 tr|G7H6Y4|G7H6Y4_9ACTN GLOBIN domain-containing protein OS=Gordonia araii NBRC 100433 OX=1073574 GN=GOARA_078_00580 PE=3 SV=1
A0A150QNB7/473-576   -            104 Bac_globin           PF01152.28   121     0.021   14.9   0.0   1   1   0.00047     0.046   13.8   0.0    18   102     1    84     1    96 0.80 tr|A0A150QNB7|A0A150QNB7_SORCE Uncharacterized protein OS=Sorangium cellulosum OX=56 GN=BE15_43810 PE=4 SV=1
A0A0R3NBJ6/27-130    -            104 Bac_globin           PF01152.28   121     0.021   14.9   0.0   1   1   0.00057     0.056   13.5   0.0    19    95     1    77     1    97 0.69 tr|A0A0R3NBJ6|A0A0R3NBJ6_9BRAD Hemin receptor OS=Bradyrhizobium retamae OX=1300035 GN=CQ13_15505 PE=3 SV=1
A0A150T9T4/428-531   -            104 Bac_globin           PF01152.28   121     0.022   14.8   0.1   1   1   0.00032     0.031   14.3   0.1    18   102     1    84     1   101 0.81 tr|A0A150T9T4|A0A150T9T4_SORCE Uncharacterized protein OS=Sorangium cellulosum OX=56 GN=BE20_53020 PE=4 SV=1
A0A158BYZ8/27-131    -            105 Bac_globin           PF01152.28   121     0.023   14.8   0.1   1   2    0.0061      0.61   10.2   0.1    67   117    10    57     2    59 0.89 tr|A0A158BYZ8|A0A158BYZ8_9BURK Flavohemoprotein OS=Caballeronia temeraria OX=1777137 GN=hmp PE=3 SV=1
A0A158BYZ8/27-131    -            105 Bac_globin           PF01152.28   121     0.023   14.8   0.1   2   2      0.45        44    4.2   0.0    71   108    56    93    54   100 0.85 tr|A0A158BYZ8|A0A158BYZ8_9BURK Flavohemoprotein OS=Caballeronia temeraria OX=1777137 GN=hmp PE=3 SV=1
A0A158CQY3/27-131    -            105 Bac_globin           PF01152.28   121     0.023   14.8   0.1   1   2    0.0061      0.61   10.2   0.1    67   117    10    57     2    59 0.89 tr|A0A158CQY3|A0A158CQY3_9BURK Flavohemoprotein OS=Caballeronia fortuita OX=1777138 GN=hmp PE=3 SV=1
A0A158CQY3/27-131    -            105 Bac_globin           PF01152.28   121     0.023   14.8   0.1   2   2      0.45        44    4.2   0.0    71   108    56    93    54   100 0.85 tr|A0A158CQY3|A0A158CQY3_9BURK Flavohemoprotein OS=Caballeronia fortuita OX=1777138 GN=hmp PE=3 SV=1
A0A143BNN0/27-129    -            103 Bac_globin           PF01152.28   121     0.023   14.7   0.0   1   1   0.00028     0.027   14.5   0.0    19   106     1    88     1    97 0.80 tr|A0A143BNN0|A0A143BNN0_9BACT GLOBIN domain-containing protein OS=Gemmatimonas phototrophica OX=1379270 GN=GEMMAAP_18205 PE=3 SV=1
A0A0G4IYZ1/680-782   -            103 Bac_globin           PF01152.28   121     0.025   14.7   0.1   1   1   0.00067     0.066   13.3   0.1    69   106    51    88     1   103 0.60 tr|A0A0G4IYZ1|A0A0G4IYZ1_PLABS GLOBIN domain-containing protein OS=Plasmodiophora brassicae OX=37360 GN=PBRA_007975 PE=3 SV=1
G2R5X9/31-135        -            105 Bac_globin           PF01152.28   121     0.025   14.6   0.0   1   1    0.0004     0.039   14.0   0.0    19   107     1    91     1   101 0.75 tr|G2R5X9|G2R5X9_THITE Uncharacterized protein OS=Thielavia terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_128077 PE=3 SV=1
R7QRC5/31-145        -            115 Bac_globin           PF01152.28   121      0.03   14.4   0.1   1   1   0.00049     0.049   13.7   0.1    70   107    64   101    61   109 0.87 tr|R7QRC5|R7QRC5_CHOCR GLOBIN domain-containing protein OS=Chondrus crispus OX=2769 GN=CHC_T00006886001 PE=3 SV=1
F5SZW9/71-176        -            106 Bac_globin           PF01152.28   121     0.031   14.3   0.0   1   1   0.00043     0.042   13.9   0.0    18   105     2    89     1   104 0.81 tr|F5SZW9|F5SZW9_9GAMM Methyl-accepting chemotaxis sensory transducer OS=Methylophaga aminisulfidivorans MP OX=1026882 GN=MAMP_01685 PE=4 SV=1
A0A2E6RFZ3/26-123    -             98 Bac_globin           PF01152.28   121     0.032   14.3   0.0   1   1    0.0012      0.11   12.5   0.0    18    98     1    81     1    96 0.70 tr|A0A2E6RFZ3|A0A2E6RFZ3_9GAMM GLOBIN domain-containing protein OS=Xanthomonadales bacterium OX=2006849 GN=CMP07_11145 PE=3 SV=1
A0A1Q5LT07/28-135    -            108 Bac_globin           PF01152.28   121     0.033   14.3   0.1   1   1    0.0012      0.12   12.5   0.1    19   101     1    88     1   104 0.71 tr|A0A1Q5LT07|A0A1Q5LT07_9ACTN Hemin transporter OS=Streptomyces sp. CB02400 OX=1703944 GN=AMK33_22820 PE=3 SV=1
O76242/10-109        -            100 Bac_globin           PF01152.28   121     0.034   14.2   0.0   1   1   0.00055     0.054   13.6   0.0    41   100    34    87    22    97 0.81 sp|O76242|GLBN_CERLA Neural hemoglobin OS=Cerebratulus lacteus OX=6221 PE=1 SV=3
A0A0K9XC83/65-168    -            104 Bac_globin           PF01152.28   121     0.035   14.2   0.3   1   1   0.00037     0.037   14.1   0.3    33   100    15    83     1   104 0.74 tr|A0A0K9XC83|A0A0K9XC83_9ACTN Flavohemoprotein OS=Streptomyces caatingaensis OX=1678637 GN=AC230_20435 PE=3 SV=1
A0A1B7L6S5/27-128    -            102 Bac_globin           PF01152.28   121     0.035   14.2   0.1   1   1   0.00044     0.044   13.9   0.1    19    99     2    84     1    96 0.80 tr|A0A1B7L6S5|A0A1B7L6S5_9ENTR Nitric oxide dioxygenase OS=Mangrovibacter phragmitis OX=1691903 GN=A9B99_19070 PE=3 SV=1
A0A290XP29/23-125    -            103 Bac_globin           PF01152.28   121     0.036   14.1   0.0   1   1   0.00095     0.094   12.8   0.0    72   102    54    84    50    95 0.88 tr|A0A290XP29|A0A290XP29_9ACTN Flavoprotein OS=Gordonia sp. 1D OX=1737359 GN=CNO18_12280 PE=3 SV=1
A0A1T5D5H0/26-135    -            110 Bac_globin           PF01152.28   121     0.037   14.1   0.0   1   1   0.00047     0.047   13.8   0.0    44   107    34    96     1   107 0.68 tr|A0A1T5D5H0|A0A1T5D5H0_9MICC Nitric oxide dioxygenase OS=Arthrobacter sp. 31Cvi3.1E OX=1279032 GN=SAMN05660916_02020 PE=3 SV=1
A0A0P1HJD9/28-127    -            100 Bac_globin           PF01152.28   121     0.038   14.1   0.1   1   1    0.0031      0.31   11.1   0.1    70   107    51    88    13    98 0.87 tr|A0A0P1HJD9|A0A0P1HJD9_9RHOB Soluble cytochrome O OS=Phaeobacter sp. CECT 5382 OX=1712645 GN=vhb PE=3 SV=1
A0A2E0L7P3/29-128    -            100 Bac_globin           PF01152.28   121     0.044   13.9   0.0   1   1   0.00056     0.055   13.5   0.0    19    97     1    78     1    97 0.81 tr|A0A2E0L7P3|A0A2E0L7P3_9CHLR Hemin receptor OS=Anaerolineaceae bacterium OX=2024896 GN=CL610_24685 PE=3 SV=1
W0RNE9/31-130        -            100 Bac_globin           PF01152.28   121     0.046   13.8   0.0   1   1   0.00059     0.059   13.5   0.0    34   100    11    78     3    94 0.79 tr|W0RNE9|W0RNE9_9BACT Globin OS=Gemmatirosa kalamazoonesis OX=861299 GN=J421_4313 PE=3 SV=1
