#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1Y6G5Q4/8-122     -            115 Bac_globin           PF01152.28   121   2.7e-08   32.6   0.2   1   1   2.2e-09   3.5e-08   32.2   0.2     9   118     1   109     1   112 0.84 tr|A0A1Y6G5Q4|A0A1Y6G5Q4_9BACI Truncated hemoglobin YjbI OS=Bacillus sp. OV166 OX=1882763 GN=SAMN05444673_4194 PE=4 SV=1
A0A1G5IFA2/18-167    -            150 Bac_globin           PF01152.28   121   0.00034   19.4   0.0   1   1   2.6e-05   0.00043   19.0   0.0    10    92    28   109    24   135 0.77 tr|A0A1G5IFA2|A0A1G5IFA2_9DELT Diguanylate cyclase (GGDEF) domain-containing protein OS=Desulfoluna spongiiphila OX=419481 GN=SAMN05216233_11971 PE=4 SV=1
A0A1C0YIJ7/28-177    -            150 Bac_globin           PF01152.28   121   0.00036   19.3   0.1   1   1   3.1e-05   0.00049   18.8   0.1     9   105    27   122    26   141 0.74 tr|A0A1C0YIJ7|A0A1C0YIJ7_9BACL Methyl-accepting transducer domain-containing protein OS=Caryophanon latum OX=33977 GN=A6K76_14155 PE=4 SV=1
A0A250IEJ5/18-172    -            155 Bac_globin           PF01152.28   121   0.00038   19.2   0.0   1   1   3.2e-05   0.00052   18.8   0.0    14    63    33    83    27    98 0.86 tr|A0A250IEJ5|A0A250IEJ5_9DELT Methyl-accepting chemotaxis protein OS=Melittangium boletus DSM 14713 OX=1294270 GN=MEBOL_003724 PE=4 SV=1
A0A2W4GX44/9-156     -            148 Bac_globin           PF01152.28   121   0.00038   19.2   0.0   1   1   3.4e-05   0.00054   18.7   0.0    11    76    27    91    23   134 0.82 tr|A0A2W4GX44|A0A2W4GX44_9BACL Chemotaxis protein OS=Paenibacillus dendritiformis OX=130049 GN=DOE73_03185 PE=4 SV=1
H3SCI2/9-156         -            148 Bac_globin           PF01152.28   121   0.00039   19.2   0.0   1   1   3.3e-05   0.00053   18.7   0.0    11    75    27    90    22   134 0.82 tr|H3SCI2|H3SCI2_9BACL Methyl-accepting chemotaxis sensory transducer OS=Paenibacillus dendritiformis C454 OX=1131935 GN=PDENDC454_06099 PE=4 SV=1
A0A150Q330/15-163    -            149 Bac_globin           PF01152.28   121   0.00041   19.1   0.0   1   1   3.4e-05   0.00054   18.7   0.0     9    62    27    81    23   126 0.74 tr|A0A150Q330|A0A150Q330_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE11_27505 PE=4 SV=1
A0A1B2E444/9-157     -            149 Bac_globin           PF01152.28   121   0.00041   19.1   0.0   1   1   4.6e-05   0.00074   18.3   0.0    11    57    27    72    25    94 0.85 tr|A0A1B2E444|A0A1B2E444_9BACL Chemotaxis protein OS=Paenibacillus ihbetae OX=1870820 GN=BBD41_20560 PE=4 SV=1
A0A3A0DS74/63-212    -            150 Bac_globin           PF01152.28   121   0.00042   19.1   0.0   1   1   3.5e-05   0.00057   18.6   0.0    10    78    24    92    22   130 0.76 tr|A0A3A0DS74|A0A3A0DS74_9BACT Uncharacterized protein OS=Planctomycetes bacterium OX=2026780 GN=DCC68_12450 PE=4 SV=1
A0A1U7CNK4/13-163    -            151 Bac_globin           PF01152.28   121   0.00049   18.8   0.0   1   1   4.1e-05   0.00066   18.4   0.0    10    79    25    94    23   119 0.73 tr|A0A1U7CNK4|A0A1U7CNK4_9BACT Globin-coupled histidine kinase OS=Paludisphaera borealis OX=1387353 GN=gchK PE=4 SV=1
A0A2L0F2L4/12-161    -            150 Bac_globin           PF01152.28   121   0.00056   18.6   0.0   1   1     5e-05   0.00081   18.1   0.0    10   103    29   121    26   131 0.80 tr|A0A2L0F2L4|A0A2L0F2L4_SORCE Sensor histidine kinase OS=Sorangium cellulosum OX=56 GN=resE PE=4 SV=1
A0A150PYJ9/13-161    -            149 Bac_globin           PF01152.28   121   0.00061   18.5   0.0   1   1     5e-05    0.0008   18.2   0.0    10    81    28    98    23   124 0.74 tr|A0A150PYJ9|A0A150PYJ9_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE15_45305 PE=4 SV=1
A0A352XDG0/16-156    -            141 Bac_globin           PF01152.28   121   0.00069   18.4   0.0   1   1     6e-05   0.00097   17.9   0.0     9   114    19   126    17   130 0.78 tr|A0A352XDG0|A0A352XDG0_9CYAN Uncharacterized protein OS=Cyanobacteria bacterium UBA11367 OX=2055774 GN=DDW51_21195 PE=4 SV=1
A0A0U2UCS9/7-155     -            149 Bac_globin           PF01152.28   121   0.00078   18.2   0.0   1   1   9.3e-05    0.0015   17.3   0.0    10    58    28    75    26   101 0.81 tr|A0A0U2UCS9|A0A0U2UCS9_9BACL Chemotaxis protein OS=Paenibacillus naphthalenovorans OX=162209 GN=IJ22_37350 PE=4 SV=1
A0A177R1F6/11-161    -            151 Bac_globin           PF01152.28   121   0.00079   18.2   0.0   1   1   6.7e-05    0.0011   17.7   0.0    10    93    26   109    22   123 0.75 tr|A0A177R1F6|A0A177R1F6_9PLAN Uncharacterized protein OS=Planctomycetaceae bacterium SCGC AG-212-F19 OX=1799658 GN=AYO44_04595 PE=4 SV=1
G4H824/9-157         -            149 Bac_globin           PF01152.28   121   0.00079   18.2   0.0   1   1   8.3e-05    0.0013   17.4   0.0    11    57    27    72    25    95 0.85 tr|G4H824|G4H824_9BACL Methyl-accepting chemotaxis sensory transducer OS=Paenibacillus lactis 154 OX=743719 GN=PaelaDRAFT_0135 PE=4 SV=1
B6IXZ3/16-161        -            146 Bac_globin           PF01152.28   121   0.00081   18.1   0.0   1   1   6.5e-05    0.0011   17.8   0.0    12    75    19    81    15   131 0.65 tr|B6IXZ3|B6IXZ3_RHOCS Methyl-accepting chemotaxis protein, putative OS=Rhodospirillum centenum (strain ATCC 51521 / SW) OX=414684 GN=RC1_3824 PE=4 SV=1
A0A2E8B088/84-238    -            155 Bac_globin           PF01152.28   121   0.00082   18.1   0.0   1   1   6.5e-05     0.001   17.8   0.0    12   106    31   125    27   141 0.76 tr|A0A2E8B088|A0A2E8B088_9PLAN Uncharacterized protein OS=Planctomycetaceae bacterium OX=2026779 GN=CMJ62_07995 PE=4 SV=1
F8DE02/31-207        -            177 Bac_globin           PF01152.28   121   0.00088   18.0   0.1   1   1   8.3e-05    0.0013   17.4   0.1     6    62    25    82    20   124 0.78 tr|F8DE02|F8DE02_HALXS Methyl-accepting chemotaxis sensory transducer OS=Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6) OX=797210 GN=Halxa_0429 PE=4 SV=1
A0A3A0DAL0/11-163    -            153 Bac_globin           PF01152.28   121   0.00089   18.0   0.0   1   1   7.2e-05    0.0012   17.6   0.0    10   100    26   116    24   130 0.80 tr|A0A3A0DAL0|A0A3A0DAL0_9BACT Uncharacterized protein OS=Planctomycetes bacterium OX=2026780 GN=DCC67_16290 PE=4 SV=1
A0A2A8CUI5/16-162    -            147 Bac_globin           PF01152.28   121   0.00093   17.9   0.1   1   1   7.7e-05    0.0012   17.5   0.1     9    75    28    90    26   139 0.81 tr|A0A2A8CUI5|A0A2A8CUI5_9BACT Globin-coupled histidine kinase OS=Longibacter salinarum OX=1850348 GN=CRI94_15365 PE=4 SV=1
A0A163HS00/38-189    -            152 Bac_globin           PF01152.28   121   0.00097   17.9   0.1   1   2    0.0013     0.021   13.6   0.0    11    65    29    84    26   101 0.82 tr|A0A163HS00|A0A163HS00_9BACL Methyl-accepting transducer domain-containing protein OS=Paenibacillus glucanolyticus OX=59843 GN=AWU65_06710 PE=4 SV=1
A0A163HS00/38-189    -            152 Bac_globin           PF01152.28   121   0.00097   17.9   0.1   2   2       4.2        67    2.3   0.1    11    36   104   131   101   145 0.59 tr|A0A163HS00|A0A163HS00_9BACL Methyl-accepting transducer domain-containing protein OS=Paenibacillus glucanolyticus OX=59843 GN=AWU65_06710 PE=4 SV=1
A0A2A5EMX2/17-169    -            153 Bac_globin           PF01152.28   121     0.001   17.8   0.0   1   1   8.6e-05    0.0014   17.4   0.0    11   109    30   127    27   137 0.85 tr|A0A2A5EMX2|A0A2A5EMX2_9RHIZ GGDEF domain-containing protein OS=Rhodobiaceae bacterium OX=2026785 GN=COA62_11575 PE=4 SV=1
A0A3E0RFZ9/37-190    -            154 Bac_globin           PF01152.28   121     0.001   17.8   0.0   1   1   9.2e-05    0.0015   17.3   0.0    10   114    29   136    27   142 0.77 tr|A0A3E0RFZ9|A0A3E0RFZ9_9BACL Chemotaxis protein OS=Brevibacillus sp. OX=1882945 GN=DF221_06915 PE=4 SV=1
K6DS91/35-186        -            152 Bac_globin           PF01152.28   121    0.0012   17.6   0.1   1   2     0.008      0.13   11.0   0.0    10    57    28    74    26   112 0.80 tr|K6DS91|K6DS91_BACAZ Methyl-accepting chemotaxis sensory transducer OS=Bacillus azotoformans LMG 9581 OX=1131731 GN=BAZO_00405 PE=4 SV=1
K6DS91/35-186        -            152 Bac_globin           PF01152.28   121    0.0012   17.6   0.1   2   2      0.68        11    4.8   0.0     2    20   116   134   115   149 0.85 tr|K6DS91|K6DS91_BACAZ Methyl-accepting chemotaxis sensory transducer OS=Bacillus azotoformans LMG 9581 OX=1131731 GN=BAZO_00405 PE=4 SV=1
A0A072NH60/35-186    -            152 Bac_globin           PF01152.28   121    0.0012   17.6   0.1   1   2    0.0083      0.13   11.0   0.0    11    57    29    74    26   112 0.79 tr|A0A072NH60|A0A072NH60_BACAZ Methyl-accepting chemotaxis protein OS=Bacillus azotoformans MEV2011 OX=1348973 GN=M670_04265 PE=4 SV=1
A0A072NH60/35-186    -            152 Bac_globin           PF01152.28   121    0.0012   17.6   0.1   2   2      0.68        11    4.8   0.0     2    20   116   134   115   149 0.85 tr|A0A072NH60|A0A072NH60_BACAZ Methyl-accepting chemotaxis protein OS=Bacillus azotoformans MEV2011 OX=1348973 GN=M670_04265 PE=4 SV=1
A0A0C2VMJ4/36-184    -            149 Bac_globin           PF01152.28   121    0.0012   17.6   0.1   1   1   9.8e-05    0.0016   17.2   0.1    10   113    26   132    24   141 0.80 tr|A0A0C2VMJ4|A0A0C2VMJ4_9BACL Methyl-accepting transducer domain-containing protein OS=Jeotgalibacillus alimentarius OX=135826 GN=KP77_14920 PE=4 SV=1
A0A3D2FHM7/20-166    -            147 Bac_globin           PF01152.28   121    0.0012   17.5   0.1   1   1   0.00012    0.0019   16.9   0.1    10    64    26    81    24    99 0.81 tr|A0A3D2FHM7|A0A3D2FHM7_9PROT Histidine kinase domain-containing protein OS=Gallionellaceae bacterium OX=2052162 GN=DFK12_00790 PE=4 SV=1
A0A2W5SX47/7-150     -            144 Bac_globin           PF01152.28   121    0.0013   17.5   0.0   1   1    0.0001    0.0017   17.1   0.0    10   108    26   124    24   134 0.82 tr|A0A2W5SX47|A0A2W5SX47_9DELT Histidine kinase OS=Archangium gephyra OX=48 GN=DI536_30705 PE=4 SV=1
A0A061NIP2/27-170    -            144 Bac_globin           PF01152.28   121    0.0013   17.5   0.0   1   1   0.00011    0.0019   17.0   0.0    10    79    22    84    20   129 0.75 tr|A0A061NIP2|A0A061NIP2_9BACL Methyl-accepting chemotaxis protein OS=Geomicrobium sp. JCM 19037 OX=1460634 GN=JCM19037_780 PE=4 SV=1
A0A1R1AHU9/7-156     -            150 Bac_globin           PF01152.28   121    0.0013   17.5   0.0   1   1   0.00014    0.0022   16.7   0.0    11    57    29    74    26    98 0.85 tr|A0A1R1AHU9|A0A1R1AHU9_9BACL Chemotaxis protein OS=Paenibacillus sp. FSL A5-0031 OX=1920420 GN=BK120_11390 PE=4 SV=1
A0A259QZ35/919-1061  -            143 Bac_globin           PF01152.28   121    0.0013   17.4   0.0   1   1   0.00013     0.002   16.8   0.0    13    58    19    65    12   130 0.71 tr|A0A259QZ35|A0A259QZ35_9GAMM Uncharacterized protein OS=Xanthomonadales bacterium 14-68-21 OX=1970612 GN=B7X39_12965 PE=4 SV=1
A0A2H5ZIJ3/19-165    -            147 Bac_globin           PF01152.28   121    0.0014   17.3   0.1   1   1   0.00015    0.0024   16.6   0.1     8    57    23    71    22    93 0.87 tr|A0A2H5ZIJ3|A0A2H5ZIJ3_9BACT Globin-coupled histidine kinase OS=bacterium HR30 OX=2035425 GN=gchK_1 PE=4 SV=1
A0A150PHF3/15-163    -            149 Bac_globin           PF01152.28   121    0.0015   17.3   0.0   1   1   0.00012    0.0019   16.9   0.0    10    62    28    81    25   132 0.78 tr|A0A150PHF3|A0A150PHF3_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE08_10560 PE=4 SV=1
A0A069D7J6/6-156     -            151 Bac_globin           PF01152.28   121    0.0015   17.3   0.0   1   1   0.00015    0.0024   16.6   0.0    11    57    30    75    27    87 0.85 tr|A0A069D7J6|A0A069D7J6_9BACL Methyl-accepting transducer domain-containing protein OS=Paenibacillus sp. TCA20 OX=1499968 GN=TCA2_0529 PE=4 SV=1
A0A061P9J0/27-170    -            144 Bac_globin           PF01152.28   121    0.0015   17.3   0.0   1   1   0.00017    0.0028   16.4   0.0    10    76    22    81    20    94 0.79 tr|A0A061P9J0|A0A061P9J0_9BACL Methyl-accepting chemotaxis protein OS=Geomicrobium sp. JCM 19039 OX=1460636 GN=JCM19039_1291 PE=4 SV=1
A0A1I6PUJ7/7-156     -            150 Bac_globin           PF01152.28   121    0.0017   17.1   0.0   1   1   0.00017    0.0027   16.4   0.0    11    57    29    74    26    85 0.85 tr|A0A1I6PUJ7|A0A1I6PUJ7_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. 453mf OX=1761874 GN=SAMN04488601_101643 PE=4 SV=1
A0A0K6GNK8/53-201    -            149 Bac_globin           PF01152.28   121    0.0017   17.1   0.0   1   1   0.00017    0.0027   16.4   0.0    10    57    26    72    24    99 0.85 tr|A0A0K6GNK8|A0A0K6GNK8_9BACI Protoglobin/Methyl-accepting chemotaxis protein (MCP) signalling domain OS=Anoxybacillus suryakundensis OX=1325335 GN=Ga0061060_10893 PE=4 SV=1
A0A3D9R254/8-157     -            150 Bac_globin           PF01152.28   121    0.0017   17.1   0.1   1   1   0.00021    0.0034   16.1   0.0    13    57    30    73    22    83 0.81 tr|A0A3D9R254|A0A3D9R254_9BACL Heme-based aerotactic transducer OS=Paenibacillus taihuensis OX=1156355 GN=A8990_13928 PE=4 SV=1
A0A1R0WH01/6-156     -            151 Bac_globin           PF01152.28   121    0.0019   17.0   0.0   1   1   0.00019    0.0031   16.3   0.0    11    57    30    75    27    85 0.87 tr|A0A1R0WH01|A0A1R0WH01_9BACL Chemotaxis protein OS=Paenibacillus sp. FSL H7-0326 OX=1921144 GN=BK126_05530 PE=4 SV=1
A0A1H2S6K0/6-156     -            151 Bac_globin           PF01152.28   121    0.0019   16.9   0.0   1   1   0.00019    0.0031   16.3   0.0    11    57    30    75    27    85 0.87 tr|A0A1H2S6K0|A0A1H2S6K0_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. PDC88 OX=1884375 GN=SAMN05518848_101872 PE=4 SV=1
A0A0K9HBC8/18-162    -            145 Bac_globin           PF01152.28   121    0.0019   16.9   0.0   1   1   0.00015    0.0025   16.6   0.0    12    80    28    95    24   133 0.81 tr|A0A0K9HBC8|A0A0K9HBC8_9BACI Phosphohydrolase OS=Bacillus sp. FJAT-27231 OX=1679168 GN=AC623_09450 PE=4 SV=1
A0A0A5G1W1/31-180    -            150 Bac_globin           PF01152.28   121     0.002   16.9   0.0   1   1   0.00017    0.0028   16.4   0.0     9   112    27   130    26   138 0.81 tr|A0A0A5G1W1|A0A0A5G1W1_9BACI Methyl-accepting transducer domain-containing protein OS=Pontibacillus litoralis JSM 072002 OX=1385512 GN=N784_02750 PE=4 SV=1
W4Q2Z6/37-189        -            153 Bac_globin           PF01152.28   121     0.002   16.9   0.0   1   1   0.00018    0.0029   16.4   0.0    10   114    28   135    26   141 0.78 tr|W4Q2Z6|W4Q2Z6_9BACI Methyl-accepting chemotaxis protein OS=Bacillus wakoensis JCM 9140 OX=1236970 GN=JCM9140_2121 PE=4 SV=1
A0A2S0K6J6/3-154     -            152 Bac_globin           PF01152.28   121    0.0021   16.8   0.0   1   1   0.00017    0.0027   16.4   0.0    12   112    30   129    26   138 0.86 tr|A0A2S0K6J6|A0A2S0K6J6_LYSSH Chemotaxis protein OS=Lysinibacillus sphaericus OX=1421 GN=LS41612_04980 PE=4 SV=1
X2GW27/34-185        -            152 Bac_globin           PF01152.28   121    0.0021   16.8   0.0   1   1   0.00017    0.0027   16.4   0.0    12   112    30   129    26   138 0.86 tr|X2GW27|X2GW27_9BACI Methyl-accepting chemotaxis protein OS=Lysinibacillus varians OX=1145276 GN=T479_18930 PE=4 SV=1
A0A2S5CWI5/34-185    -            152 Bac_globin           PF01152.28   121    0.0021   16.8   0.0   1   1   0.00017    0.0027   16.4   0.0    12   112    30   129    26   138 0.86 tr|A0A2S5CWI5|A0A2S5CWI5_LYSSH Heme-based aerotactic transducer HemAT OS=Lysinibacillus sphaericus OX=1421 GN=hemAT_2 PE=4 SV=1
A0A3A6Q8Y9/32-210    -            179 Bac_globin           PF01152.28   121    0.0021   16.8   0.6   1   2    0.0094      0.15   10.8   0.1    11    68    29    86    26   102 0.79 tr|A0A3A6Q8Y9|A0A3A6Q8Y9_9EURY Methyl-accepting chemotaxis protein OS=Halonotius pteroides OX=268735 GN=DP106_02530 PE=4 SV=1
A0A3A6Q8Y9/32-210    -            179 Bac_globin           PF01152.28   121    0.0021   16.8   0.6   2   2      0.78        13    4.6   0.0    80   120   118   158   113   159 0.88 tr|A0A3A6Q8Y9|A0A3A6Q8Y9_9EURY Methyl-accepting chemotaxis protein OS=Halonotius pteroides OX=268735 GN=DP106_02530 PE=4 SV=1
A0A1I6VYQ2/8-157     -            150 Bac_globin           PF01152.28   121    0.0021   16.8   0.0   1   1   0.00027    0.0044   15.8   0.0    13    57    31    74    23    99 0.84 tr|A0A1I6VYQ2|A0A1I6VYQ2_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. BC26 OX=1881032 GN=SAMN05428962_4970 PE=4 SV=1
A0A257TKM8/8-161     -            154 Bac_globin           PF01152.28   121    0.0021   16.8   0.0   1   1   0.00026    0.0042   15.8   0.0     9    98    28   117    23   131 0.80 tr|A0A257TKM8|A0A257TKM8_9BACT HisKA domain-containing protein (Fragment) OS=Planctomycetia bacterium 21-64-5 OX=1970542 GN=B7Z73_12580 PE=4 SV=1
V9GA16/11-160        -            150 Bac_globin           PF01152.28   121    0.0022   16.8   0.0   1   1    0.0002    0.0032   16.2   0.0    11    57    28    73    25    99 0.82 tr|V9GA16|V9GA16_9BACL Methyl-accepting chemotaxis protein OS=Paenibacillus sp. JCM 10914 OX=1236974 GN=JCM10914_1864 PE=4 SV=1
